influencer_name,platform,followers_count,engagement_avg,average_views,average_likes,average_comments,shares_avg
"Karina Garcia",YouTube,NULL,NULL,220800,9200,301,NULL
KatyPerryMusic,Instagram,156600000,302600,NULL,NULL,NULL,NULL
KatyPerryMusic,YouTube,NULL,NULL,151600,10700,824,NULL
kidrauhl,Instagram,9100000,562100,NULL,NULL,NULL,NULL
kidrauhl,YouTube,NULL,NULL,2700000,162700,7900,NULL
"Kimberly Loaiza",Instagram,33900000,1200000,NULL,NULL,NULL,NULL
"Kimberly Loaiza",TikTok,NULL,NULL,NULL,NULL,NULL,7800
"Kimberly Loaiza",TikTok,NULL,NULL,NULL,NULL,NULL,4500
"Kimberly Loaiza",YouTube,NULL,NULL,9200000,646500,42300,NULL
laharimusic,TikTok,NULL,NULL,NULL,NULL,NULL,4300
laharimusic,YouTube,NULL,NULL,54900,2100,56,NULL
latenight,TikTok,NULL,NULL,NULL,NULL,NULL,647
latenight,YouTube,NULL,NULL,88800,2200,121,NULL
"Like Nastya",TikTok,NULL,NULL,NULL,NULL,NULL,749
"Like Nastya",YouTube,NULL,NULL,13700000,74200,NULL,NULL
littlemixmusic,Instagram,15400000,232000,NULL,NULL,NULL,NULL
littlemixmusic,YouTube,NULL,NULL,104200,10000,160,NULL
"Logan Paul",Instagram,22500000,733800,NULL,NULL,NULL,NULL
"Logan Paul",YouTube,NULL,NULL,4300000,76200,3900,NULL
"Lorrayne Oliveira",TikTok,NULL,NULL,NULL,NULL,NULL,10900
"Lorrayne Oliveira",YouTube,NULL,NULL,281500,17500,502,NULL
luccasneto,Instagram,19200000,412300,NULL,NULL,NULL,NULL
luccasneto,Instagram,12800000,282200,NULL,NULL,NULL,NULL
luccasneto,TikTok,NULL,NULL,NULL,NULL,NULL,3600
luccasneto,YouTube,NULL,NULL,625700,13300,NULL,NULL
LuisitoComunicaa,Instagram,31700000,1200000,NULL,NULL,NULL,NULL
LuisitoComunicaa,YouTube,NULL,NULL,2400000,74600,3300,NULL
luisitorey,Instagram,47700000,59700,NULL,NULL,NULL,NULL
luisitorey,TikTok,NULL,NULL,NULL,NULL,NULL,1300
luisitorey,TikTok,NULL,NULL,NULL,NULL,NULL,17800
luisitorey,TikTok,NULL,NULL,NULL,NULL,NULL,4900
luisitorey,YouTube,NULL,NULL,33100,2200,48,NULL
makebymarimaria,Instagram,19900000,242700,NULL,NULL,NULL,NULL
makebymarimaria,YouTube,NULL,NULL,132100,13800,436,NULL
mamilosmolengas,TikTok,NULL,NULL,NULL,NULL,NULL,665
mamilosmolengas,YouTube,NULL,NULL,860500,88200,3600,NULL
markiplierGAME,Instagram,9800000,463300,NULL,NULL,NULL,NULL
markiplierGAME,YouTube,NULL,NULL,3000000,165300,6000,NULL
Marshmello,Instagram,29200000,406600,NULL,NULL,NULL,NULL
Marshmello,YouTube,NULL,NULL,636000,47400,4900,NULL
MartinGarrix,Instagram,15600000,216300,NULL,NULL,NULL,NULL
MartinGarrix,YouTube,NULL,NULL,59600,1900,125,NULL
MashaBearUkraine,Instagram,18400000,301400,NULL,NULL,NULL,NULL
MashaBearUkraine,YouTube,NULL,NULL,218600,1200,NULL,NULL
mirandasings08,Instagram,9800000,333600,NULL,NULL,NULL,NULL
mirandasings08,YouTube,NULL,NULL,153900,10300,1100,NULL
Mnet,TikTok,NULL,NULL,NULL,NULL,NULL,1600
Mnet,YouTube,NULL,NULL,31100,2600,112,NULL
monsta,Instagram,75300000,653200,NULL,NULL,NULL,NULL
monsta,YouTube,NULL,NULL,44800,1200,NULL,NULL
MRamadanOfficial,Instagram,10400000,500300,NULL,NULL,NULL,NULL
MRamadanOfficial,YouTube,NULL,NULL,761500,28200,1800,NULL
MstrJames,Instagram,22300000,135200,NULL,NULL,NULL,NULL
MstrJames,YouTube,NULL,NULL,896700,46300,1800,NULL
mymissanand,Instagram,6000000,699000,NULL,NULL,NULL,NULL
mymissanand,YouTube,NULL,NULL,2100000,80900,1200,NULL
narendramodionline,Instagram,66500000,1700000,NULL,NULL,NULL,NULL
narendramodionline,YouTube,NULL,NULL,6200,123,18,NULL
"Narins Beauty",Instagram,8400000,429000,NULL,NULL,NULL,NULL
"Narins Beauty",YouTube,NULL,NULL,2700000,267200,8800,NULL
ndtvindia,Instagram,13900000,431500,NULL,NULL,NULL,NULL
ndtvindia,Instagram,25500000,1100000,NULL,NULL,NULL,NULL
ndtvindia,YouTube,NULL,NULL,20000,605,71,NULL
NehaKakkarOfficial,Instagram,13900000,267600,NULL,NULL,NULL,NULL
NehaKakkarOfficial,YouTube,NULL,NULL,0,NULL,NULL,NULL
NewOnNetflix,Instagram,29500000,105900,NULL,NULL,NULL,NULL
NewOnNetflix,YouTube,NULL,NULL,265200,5000,325,NULL
"Niana Guerrero",Instagram,14000000,514800,NULL,NULL,NULL,NULL
"Niana Guerrero",TikTok,NULL,NULL,NULL,NULL,NULL,1700
"Niana Guerrero",YouTube,NULL,NULL,732400,41000,1600,NULL
NikkieTutorials,Instagram,15600000,480500,NULL,NULL,NULL,NULL
NikkieTutorials,TikTok,NULL,NULL,NULL,NULL,NULL,987
NikkieTutorials,YouTube,NULL,NULL,821100,55700,2600,NULL
"Noor Stars",Instagram,12600000,199600,NULL,NULL,NULL,NULL
"Noor Stars",YouTube,NULL,NULL,2000000,161300,12100,NULL
ntvru,Instagram,13200000,350100,NULL,NULL,NULL,NULL
ntvru,Instagram,13200000,350200,NULL,NULL,NULL,NULL
ntvru,YouTube,NULL,NULL,82300,901,216,NULL
officialjassrecords,TikTok,NULL,NULL,NULL,NULL,NULL,1800
officialjassrecords,YouTube,NULL,NULL,223800,3500,410,NULL
Panda,Instagram,8400000,415500,NULL,NULL,NULL,NULL
Panda,TikTok,NULL,NULL,NULL,NULL,NULL,1900
Panda,TikTok,NULL,NULL,NULL,NULL,NULL,500
Panda,TikTok,NULL,NULL,NULL,NULL,NULL,2500
Panda,TikTok,NULL,NULL,NULL,NULL,NULL,884
Panda,TikTok,NULL,NULL,NULL,NULL,NULL,4100
Panda,YouTube,NULL,NULL,1100000,103700,1900,NULL
PewDiePie,Instagram,21900000,1400000,NULL,NULL,NULL,NULL
PewDiePie,YouTube,NULL,NULL,1400000,80800,4600,NULL
PinkPanther,TikTok,NULL,NULL,NULL,NULL,NULL,666
PinkPanther,YouTube,NULL,NULL,716600,5900,NULL,NULL
PlayStation,Instagram,28900000,99300,NULL,NULL,NULL,NULL
PlayStation,YouTube,NULL,NULL,24500,748,89,NULL
pognalishow,Instagram,65100000,317000,NULL,NULL,NULL,NULL
pognalishow,TikTok,NULL,NULL,NULL,NULL,NULL,2500
pognalishow,YouTube,NULL,NULL,4800000,436900,14300,NULL
PrestonPlayz,TikTok,NULL,NULL,NULL,NULL,NULL,976
PrestonPlayz,TikTok,NULL,NULL,NULL,NULL,NULL,976
PrestonPlayz,YouTube,NULL,NULL,2800000,68600,3600,NULL
PrestonPlayz,YouTube,NULL,NULL,2800000,68600,3600,NULL
PrestonPlayz,YouTube,NULL,NULL,2100000,48800,4000,NULL
PrestonPlayz,YouTube,NULL,NULL,2100000,48800,4000,NULL
queenofficial,Instagram,12100000,421900,NULL,NULL,NULL,NULL
queenofficial,Instagram,14100000,1400000,NULL,NULL,NULL,NULL
queenofficial,Instagram,8300000,1600000,NULL,NULL,NULL,NULL
queenofficial,Instagram,6000000,733500,NULL,NULL,NULL,NULL
queenofficial,Instagram,12900000,434400,NULL,NULL,NULL,NULL
queenofficial,Instagram,6300000,472100,NULL,NULL,NULL,NULL
queenofficial,Instagram,14100000,347700,NULL,NULL,NULL,NULL
queenofficial,Instagram,7100000,546100,NULL,NULL,NULL,NULL
queenofficial,Instagram,9500000,286100,NULL,NULL,NULL,NULL
queenofficial,Instagram,16400000,208100,NULL,NULL,NULL,NULL
queenofficial,Instagram,11600000,301200,NULL,NULL,NULL,NULL
queenofficial,TikTok,NULL,NULL,NULL,NULL,NULL,4100
queenofficial,TikTok,NULL,NULL,NULL,NULL,NULL,4500
queenofficial,TikTok,NULL,NULL,NULL,NULL,NULL,15400
queenofficial,TikTok,NULL,NULL,NULL,NULL,NULL,11500
queenofficial,YouTube,NULL,NULL,123300,4200,491,NULL
rangeldovine,Instagram,12600000,456100,NULL,NULL,NULL,NULL
rangeldovine,Instagram,43300000,182800,NULL,NULL,NULL,NULL
rangeldovine,Instagram,12600000,456200,NULL,NULL,NULL,NULL
rangeldovine,YouTube,NULL,NULL,169600,18200,69,NULL
ranziscool,TikTok,NULL,NULL,NULL,NULL,NULL,1200
ranziscool,YouTube,NULL,NULL,362300,15000,507,NULL
RaptorGamer,TikTok,NULL,NULL,NULL,NULL,NULL,4400
RaptorGamer,YouTube,NULL,NULL,741400,46500,1500,NULL
"Rauw Alejandro",Instagram,13700000,553000,NULL,NULL,NULL,NULL
"Rauw Alejandro",YouTube,NULL,NULL,0,NULL,NULL,NULL
rebeccazamolo1,TikTok,NULL,NULL,NULL,NULL,NULL,701
rebeccazamolo1,YouTube,NULL,NULL,2800000,70600,6900,NULL
"Ricis Official",Instagram,106000000,241900,NULL,NULL,NULL,NULL
